Days,Autauga,Baldwin,Barbour,Bibb,Blount,Bullock,Butler,Calhoun,Chambers,Cherokee,Chilton,Choctaw,Clarke,Clay,Coffee,Colbert,Conecuh,Coosa,Covington,Crenshaw,Cullman,Dale,Dallas,DeKalb,Elmore,Escambia,Etowah,Fayette,Franklin,Geneva,Greene,Hale,Henry,Houston,Jackson,Jefferson,Lamar,Lauderdale,Lawrence,Lee,Limestone,Lowndes,Macon,Madison,Marengo,Marion,Marshall,Mobile,Monroe,Montgomery,Morgan,Perry,Pickens,Pike,Randolph,Russell,Shelby,St. Clair,Sumter,Talladega,Tallapoosa,Tuscaloosa,Walker,Washington,Wilcox,Winston,Anchorage,Bethel Census Area,Fairbanks North Star Borough,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Matanuska-Susitna Borough,Nome Census Area,Petersburg Borough,Prince of Wales-Hyder Census Area,Sitka City and Borough,Southeast Fairbanks Census Area,Unknown,Valdez-Cordova Census Area,Yukon-Koyukuk Census Area,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Yavapai,Yuma,Arkansas,Ashley,Baxter,Benton,Boone,Bradley,Calhoun,Carroll,Chicot,Clark,Clay,Cleveland,Columbia,Conway,Craighead,Crawford,Crittenden,Cross,Dallas,Desha,Drew,Faulkner,Franklin,Fulton,Garland,Grant,Greene,Hempstead,Hot Spring,Howard,Independence,Izard,Jackson,Jefferson,Johnson,Lafayette,Lawrence,Lee,Lincoln,Logan,Lonoke,Madison,Marion,Miller,Mississippi,Monroe,Montgomery,Newton,Ouachita,Perry,Phillips,Pike,Poinsett,Polk,Pope,Prairie,Pulaski,Randolph,Saline,Scott,Searcy,Sebastian,Sevier,Sharp,St. Francis,Stone,Union,Unknown,Van Buren,Washington,White,Woodruff,Yell,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,Adams,Alamosa,Arapahoe,Archuleta,Baca,Bent,Boulder,Broomfield,Chaffee,Cheyenne,Clear Creek,Conejos,Costilla,Crowley,Custer,Delta,Denver,Douglas,Eagle,El Paso,Elbert,Fremont,Garfield,Gilpin,Grand,Gunnison,Hinsdale,Huerfano,Jackson,Jefferson,Kiowa,Kit Carson,La Plata,Lake,Larimer,Las Animas,Lincoln,Logan,Mesa,Mineral,Moffat,Montezuma,Montrose,Morgan,Otero,Ouray,Park,Phillips,Pitkin,Prowers,Pueblo,Rio Blanco,Routt,Saguache
2020-05-11,104,243,74,46,45,28,249,128,326,25,74,77,68,3,159,79,17,34,56,50,67,53,1,185,169,39,198,10,2,18,24,79,35,125,1,300,14,109,72,10,62,117,53,1,97,1,599,1608,5,1,104,10,71,3,22,91,390,88,115,76,345,319,116,126,89,27,199,1,85,29,23,16,1,21,1,3,2,1,3,135,1,1,859,44,795,21,21,2,27,6599,220,1150,1696,650,243,285,2,18,6,136,4,12,128,6,10,35,3,15,15,14,127,8,219,35,1,18,19,83,2,3,126,16,24,7,29,14,22,13,1,300,35,9,72,10,949,4,44,1,1,40,55,5,1,3,9,10,4,3,25,7,52,2,661,22,78,1,6,15,24,36,316,8,105,135,28,126,36,1,9,2202,2,8,22,13,3,1089,4,62,1074,9,68,712,20,1403,358,8,35329,69,278,15,13,189,33,309,84,4025,172,4,5440,1193,59,3198,5454,2007,644,237,1550,1382,2391,33,1,5,413,351,537,37,1,2,1295,2,742,182,25,2448,37,3526,8,12,1,805,204,69,5,15,1,4,39,2,54,4359,621,564,1204,41,25,112,2,4,180,3,3,1,300,6,25,66,8,456,4,949,4,51,26,6,25,128,104,56,6,1,4,54,9,188,1,59,8
2020-05-12,103,282,79,391,45,32,258,124,326,695,75,81,197,28,192,83,18,34,56,53,68,57,1,2751,178,682,199,205,31,19,57,79,628,314,127,22,41,110,72,344,64,202,90,29,101,39,612,1653,47,8,33,12,35,44,169,96,391,88,250,75,351,332,119,14,92,28,200,1,85,29,23,16,1,21,1,3,2,1,3,78,1,1,927,45,823,22,21,2,36,6821,242,1177,1750,670,254,12,2,18,6,139,4,13,124,408,10,35,28,16,202,14,130,19,229,35,1,18,19,88,31,3703,127,16,57,9,29,14,23,13,127,22,71,5,72,344,12,483,45,29,39,38,58,47,8,262,9,12,10,44,25,78,61,2,36,169,80,1,6,15,25,37,333,8,14,78,28,14,36,1,9,2321,2,8,22,13,3,1100,4,64,1156,9,72,786,20,1438,372,249,36259,70,283,15,13,200,33,317,84,1614,174,4,5618,1210,60,3311,5586,2032,659,240,1588,1396,2403,33,1,5,415,364,544,37,2,2,1338,2,760,182,25,2520,38,3583,8,12,1,825,207,69,5,15,1,4,39,2,54,4452,433,566,1251,46,25,113,3,5,182,3,3,127,22,6,26,66,249,472,4,12,483,50,2,6,26,131,33,11,7,16,10,56,10,195,1,59,16
2020-05-13,110,284,79,394,45,35,271,1,328,700,77,84,195,29,192,87,18,34,57,53,69,60,1,26,31,682,202,69,110,20,158,84,126,313,323,35,41,113,134,74,64,202,163,547,102,8240,40,1681,144,169,248,29,35,5,48,100,13,850,415,78,357,345,74,17,95,33,202,2,85,29,24,16,1,21,1,3,2,1,3,1123,1,1,962,46,839,22,20,2,37,7096,250,1238,1781,678,260,12,2,18,6,21,274,15,1,78,10,406,29,16,205,14,137,23,230,35,1,18,19,91,110,42,129,192,158,9,29,287,25,13,323,35,1004,6,134,74,29,10,45,547,8240,38,61,144,169,72,10,29,10,5,26,79,1,2,34,48,6,1,6,15,27,37,335,8,122,1123,28,17,2,1,13,2372,2,8,22,13,3,1121,5,64,1192,9,77,786,20,1483,392,2840,37303,71,299,15,13,200,33,321,91,122,174,4,5618,1221,61,3463,5725,2065,670,243,1612,1412,2418,34,1,5,415,373,559,38,2,2,1426,2,789,183,25,9,39,3652,8,12,1,835,209,69,5,16,1,4,39,2,55,4548,23,570,1291,46,3,113,4,5,182,3,3,323,35,7,26,68,2840,485,4,29,10,50,2,6,27,135,248,11,7,16,10,56,10,202,1,59,16
2020-05-14,110,287,81,396,46,35,217,1,328,8,77,84,17,2,193,91,18,34,57,53,69,60,776,27,31,689,204,550,32,20,13,85,47,314,25,18,41,113,134,18,64,203,165,16,103,7,794,1701,19,20,251,29,35,5,50,100,21,875,415,78,358,345,74,172,95,34,204,2,85,30,25,16,1,21,1,3,2,1,3,8,1,1,981,46,866,22,20,2,38,7240,250,1273,1814,693,262,12,2,18,6,36,342,15,1,2,10,20,2,16,205,14,140,6,4,35,776,18,19,93,32,43,129,14,13,9,29,12,25,13,25,18,648,6,134,18,29,10,45,16,7,37,61,19,20,72,10,29,2,5,26,2922,1,2,34,50,28,7,6,16,28,37,341,8,2,8,8,172,179,1,23,2413,2,8,22,13,3,1146,8,65,1192,9,7,786,20,1525,399,2871,37974,71,317,15,14,201,34,329,91,124,175,4,5633,1236,61,3511,5899,2097,689,243,1652,1468,2453,34,1,6,415,387,571,40,2,2,1430,2,813,184,26,1,41,3703,8,12,1,844,211,69,2,16,1,4,39,2,55,4656,60,570,1314,46,3,115,4,5,183,3,3,25,18,2,26,68,2871,489,4,29,10,50,2,6,27,136,251,11,7,16,2,56,10,204,1,59,16
2020-05-15,120,290,85,397,47,40,217,304,329,8,79,85,18,2,200,93,19,34,58,53,69,61,788,26,31,707,206,564,308,22,13,91,12,318,70,7059,41,115,2,19,65,208,169,24,104,17,36,1735,6,8455,1,20,38,28,50,23,76,893,419,81,366,368,74,343,95,39,206,2,85,30,25,16,1,22,1,3,2,1,3,312,1,1,988,46,901,22,20,2,38,7340,251,1285,1825,702,267,11,2,18,6,36,355,15,304,703,11,21,2,16,212,14,141,57,4,36,788,18,19,94,308,2,130,22,13,9,29,1419,26,13,70,7059,5,598,2,19,17,94,45,24,17,36,62,6,8455,72,956,20,2,28,27,3001,1,2,50,50,28,34,6,16,32,37,349,8,243,312,8,343,183,1,28,2478,2,8,24,13,3,1155,8,67,1263,12,7,876,20,1562,412,2914,38451,78,329,15,14,220,34,342,93,124,175,4,5952,1244,61,3593,6009,2135,699,246,1680,1489,2453,34,1,6,429,391,571,40,2,2,1436,2,838,184,28,1,42,3767,8,12,1,857,213,69,2,16,1,4,39,2,14,4720,61,570,1348,48,3,114,4,5,179,3,3,70,7059,2,26,68,2914,495,4,17,94,50,2,6,27,136,1,11,7,16,2,57,10,217,1,60,17
2020-05-16,127,292,90,411,47,52,217,59,329,8,80,23,113,86,209,98,21,33,110,53,70,63,795,27,31,719,215,596,21,23,7,96,13,2,287,38,199,602,80,96,65,132,170,561,116,93,67,1751,220,74,1,37,39,184,49,23,78,412,421,81,371,387,76,128,97,86,206,2,85,30,25,16,1,22,1,3,2,1,3,44,1,1,1023,46,943,22,20,3,38,7482,262,1320,1888,720,269,11,2,19,6,9,106,14,59,110,11,21,86,17,212,14,147,57,4,39,795,18,19,95,21,2,130,2,7,9,29,1468,26,14,287,38,5,109,80,96,218,98,46,561,93,36,65,220,74,196,966,37,2,184,28,56,5,2,50,49,28,550,6,17,46,38,362,24,65,44,116,128,186,1,30,2543,2,8,26,13,3,1192,14,67,1287,12,7,902,20,1596,416,1,39573,81,336,15,15,222,34,345,93,124,177,5,6053,1249,63,3707,6089,2186,709,247,1701,1509,2483,34,1,6,435,411,593,40,2,2,1539,2,850,185,28,177,43,3827,8,12,1,871,214,69,2,16,1,4,39,2,15,4790,23,571,1357,69,4,115,4,5,179,3,3,287,38,2,26,72,1,508,4,218,98,50,2,6,29,136,1,11,7,20,2,57,11,219,1,59,18
2020-05-17,136,296,96,408,47,64,37,59,331,8,83,24,120,20,210,110,22,33,117,52,71,71,2,5,31,723,223,591,5,26,111,106,9,2,465,6,205,616,7,95,69,135,2,289,118,5,68,1822,226,7,7,47,39,14,8,23,1,2,425,82,379,431,81,26,98,86,207,2,85,30,25,16,1,22,1,3,2,1,3,14,1,1,1080,46,961,22,21,3,40,7644,267,1361,1903,724,273,11,2,19,6,9,3,14,59,44,11,5650,20,17,214,14,153,8,4,40,2,18,19,95,5,2,130,2,111,10,29,38,27,14,465,6,7,69,7,95,2,101,46,289,5,4,49,226,7,18,980,47,2,14,28,9,6,2,36,8,448,88,6,18,49,40,365,4,65,14,116,26,188,1,38,2581,2,9,30,13,4,1209,15,67,1338,12,76,1012,20,1615,416,5,40857,82,343,15,15,222,34,350,95,124,177,5,6184,1254,64,3795,6203,2189,716,249,1704,1521,2492,34,1,6,440,411,598,40,2,2,1552,2,861,185,28,256,43,3889,8,12,1,878,215,69,9,16,1,3,42,35,16,4858,26,572,1386,69,4,114,3,5,176,3,3,465,6,2,26,72,5,512,4,2,101,50,4,6,30,136,7,13,7,8,2,57,11,220,1,59,18
2020-05-18,147,299,100,416,48,71,37,61,330,20,84,27,119,5,218,112,23,33,123,52,73,76,2,5,31,734,226,596,137,28,56,110,9,2,25,71,210,637,7,344,71,136,5,4,121,5,68,1874,2531,74,8,48,40,14,502,23,1,2,432,84,384,454,84,26,98,92,207,2,85,30,25,16,1,22,1,3,2,1,3,24,1,1,1121,51,972,22,2,3,45,7835,277,1421,1944,732,273,12,2,19,6,10,3,15,61,46,12,5734,5,60,355,14,170,8,4,41,2,18,19,98,137,186,131,16,56,12,29,38,27,14,25,71,7,69,7,344,54,112,46,4,5,4,50,2531,74,18,1032,48,2,14,30,35,6,2,36,502,463,89,6,18,50,42,600,4,373,24,117,26,201,1,73,2630,2,9,31,13,4,1234,20,67,1372,12,77,1076,20,1654,488,5,42037,83,352,15,15,234,34,356,96,291,176,4,6343,1265,66,3984,6378,2202,733,251,1739,1533,2508,34,1,6,454,433,598,40,2,2,1603,2,883,186,28,258,51,3943,8,12,1,890,218,69,9,16,1,3,43,35,17,4948,26,577,1428,69,4,114,3,5,177,3,3,25,71,2,26,83,5,517,4,54,112,50,4,6,30,147,8,118,7,8,2,57,11,230,1,59,20
2020-05-19,149,329,104,423,49,89,734,60,330,28,85,14,123,5,225,117,24,33,125,53,73,77,2,5,31,740,225,34,4996,28,86,119,13,2,21,3,215,647,28,350,72,139,7,128,125,2581,7,1916,71,561,5,17,41,6,528,23,36,2,436,85,387,464,94,309,98,92,207,2,85,31,25,16,1,22,2,3,2,1,3,22,1,1,1139,56,979,24,2,3,48,7950,288,1470,1974,749,284,12,2,19,6,55,3,16,60,28,12,184,5,481,16,14,174,104,5,42,2,18,19,98,4996,35,132,1,86,11,29,38,27,14,21,3,7,69,28,350,21,18,46,128,2581,4,53,71,561,18,1041,17,2,6,31,35,6,2,36,528,465,91,6,18,62,42,621,4,40,22,120,309,206,1,76,2729,2,9,34,13,5,1259,23,74,1417,12,78,1145,20,1705,506,252,43052,82,369,15,21,251,34,371,97,291,184,4,6464,1271,69,4146,6497,2323,752,253,1791,1544,2546,36,1,6,460,467,621,40,3,2,1641,2,912,188,28,8,51,3974,8,12,2,898,220,69,9,16,1,3,44,12,17,5056,25,577,1460,71,4,25,3,5,177,3,3,21,3,6,26,73,252,520,5,21,18,50,4,6,35,152,5,146,7,8,2,57,11,233,1,59,23
2020-05-20,155,329,105,432,49,105,216,9,330,27,86,14,124,5,227,125,25,33,127,58,74,81,2,5,31,749,228,94,711,31,27,124,14,2,56,7,218,670,74,187,72,158,8,132,132,63,7,1982,1302,6464,5,45,43,476,549,23,37,2,439,86,392,480,95,485,98,98,207,2,85,31,25,16,1,24,3,3,2,1,3,1504,2,1,1144,58,1000,24,2,3,49,8177,303,1491,2002,751,284,15,2,19,6,55,3,16,9,28,12,195,5,487,342,14,181,21,5,42,2,19,19,100,711,14,133,1,27,13,29,39,29,14,56,7,7,69,74,187,8,18,46,132,63,4,54,1302,6464,18,1042,45,2,476,31,95,6,2,36,549,467,91,6,19,79,42,628,4,52,1504,121,485,212,1,94,2788,2,9,34,13,5,1296,23,74,1448,12,78,1214,20,1767,506,263,44055,84,388,15,21,251,34,395,102,294,185,4,6464,1288,69,4315,6622,2353,752,259,1847,1554,2571,36,1,6,460,482,629,40,3,2,1662,3,937,190,28,222,55,4027,8,12,2,923,220,70,9,16,1,3,57,12,17,5151,25,580,1493,71,4,25,3,6,178,3,3,56,7,6,26,76,263,530,5,8,18,54,4,6,35,159,5,183,8,8,2,57,12,260,1,59,24
